symbol Prdm16s-Bulk_1 Ctrl-Bulk_1 L-MEP_1 Ctrl-MEP_1 Prdm16s-Bulk_2 Ctrl-Bulk_2 L-MEP_2 Ctrl-MEP_2 Prdm16s-Bulk_3 Ctrl-Bulk_3 L-MEP_3 Ctrl-MEP_3
1500015O10Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.39855593590000005 0.0 0.0 0.1573174369
1500026H17Rik 0.0995218561 0.0 0.43794237119999996 0.1745156793 0.6023116288 0.0 1.4319390759000001 0.17490571600000002 0.0 0.0 0.0 0.09083087390000001
1600002D24Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1600002K03Rik 11.9912370965 8.6395606851 23.5899575481 8.7406888384 14.2297278826 19.7407566448 14.471651903 32.6442308903 4.1680012469 20.878052360199998 5.143654863 22.7465064574
1600010M07Rik 9.939260695 10.4347940742 0.0 0.0 15.038235148699998 15.2523359447 0.3972442819 0.0 6.8945000862 9.4855892095 0.0 0.0
1600012H06Rik 14.8288287829 14.5283178501 6.973432438400001 5.3369376964 22.184125116300002 13.0093827833 17.358249048399998 5.0267623548 6.2496347339 12.398246311400001 7.289954969199999 7.400541024600001
1600014C10Rik 25.6882353371 37.1851700327 14.811710289 11.2341155297 23.0917549344 34.5579363381 13.2990476975 13.9180843304 39.2557957889 44.0719481716 26.691095995799998 8.9082708636
1600014C23Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1600015I10Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1600019K03Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1600020E01Rik 9.1153296036 12.5045189906 17.3282466932 3.5292906949000002 10.5919613358 13.0168501274 15.854948527000001 8.5866290683 2.1357585361 8.653878475199999 11.9646950304 10.449055639700001
1600023N17Rik 0.6073992646999999 0.9299527126 1.0691355029 0.7455697633 0.9190032590999999 2.6784114844999998 0.6069009862 1.6012201861000002 0.0 2.2682930718 0.0 1.8016592182
1600025M17Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1600027J07Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1600029I14Rik 0.35431623770000004 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4850620972
1600029O15Rik 0.0 0.1480521732 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1700001C02Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1700001C19Rik 0.3399547245 0.2974196349 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.423179607 0.0 0.0
1700001D01Rik 0.0 0.4740289933 0.4768533571 0.0 0.0 0.1911390284 0.0 0.0 1.0440049295 0.2248219682 0.0 0.0
1700001F09Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1700001G01Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1700001G11Rik 0.5971311367000001 0.3482787792 0.11678463230000001 0.6980627173 0.0 0.8426024790000001 1.7501477594 1.3992457283000002 0.0 0.0 0.0 0.9083087385999999
1700001G17Rik 0.344352339 0.3012670205 0.8081654195 0.6038360288 1.0420194434 1.0932980422 1.2386514616 2.8746315152 0.0 1.0001922207 0.0 1.7285452463
1700001J03Rik 0.0 0.17212492370000002 0.0 0.0 0.0 0.2776183832 0.0 0.1728823851 0.0 0.0 0.0 0.0
1700001J11Rik 0.0 0.0 0.1455549145 0.0 0.0 0.0 0.0 0.21799432030000002 0.0 0.0 0.0 0.056603680700000006
1700001K19Rik 0.0 0.2807404415 0.28241315170000003 0.11253883220000001 0.0 0.0 0.7695046466 0.1409879409 0.0 0.0 1.7549891591999998 0.0
1700001K23Rik 0.0 0.8232368276 0.368063042 0.0 0.0 0.0 1.0028790067 0.0 0.0 0.0 0.0 0.2862661557
1700001L05Rik 1.4989190276 2.928736338 1.8028901609 8.445977825 1.5119231029 2.57337334 2.8356252508999997 4.8075806338 2.5801081512 3.2341779461 0.5465185761 7.7749271166
1700001L19Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1700001O22Rik 1.6355112822 0.1683383917 0.056447129000000006 0.0 1.1644943874 0.2715111277 0.3076083943 0.084539595 0.0 0.0 0.0 0.08780508109999999
1700001P01Rik 0.0 0.0 0.8635325215999999 0.17205456079999998 0.0 0.0 0.0 0.0 0.0 0.4071295257 0.0 1.1193740705
1700003C15Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1700003D09Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1700003E16Rik 0.5439879687 0.0 0.0 0.047695267 0.41153055759999996 0.0 0.0 0.0 2.7252656444 0.0 0.0 0.0
1700003F12Rik 0.0 0.0 0.0 0.0 0.0 0.1473309019 0.0 0.0 0.0 0.1732938772 0.0 0.0
