symbol	X468VTF.V19	X468VTF.V1	X468VTF.V5.2	X468VTF.V5	X474IDH.V3.2	X474IDH.V3	X474IDH.V9	wt1.lsk	wt2.lsk	wt3.lsk	wt4.lsk
Cklf	10.0	5.5	8.25	16.25	23.5	20.0	17.5	31.25	26.25	35.75	36.75
Ckm	1.0	0.0	8.0	10.0	0.0	2.0	1.0	9.0	0.0	11.0	9.0
Ckmt1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Ckmt2	2.0	0.0	0.0	1.0	0.0	0.0	2.0	4.0	2.0	1.0	10.0
Cks1b	3120.0	3567.0	3349.0	4330.0	3127.0	3556.0	3575.0	2673.0	3045.0	2467.0	2086.0
Cks1brt	47.0	65.0	11.0	18.0	6.0	20.0	22.0	23.0	19.0	25.0	8.0
Cks2	383.0	460.0	842.0	362.0	859.0	311.0	362.0	308.0	311.0	246.0	231.0
Clasp1	0.3333	0.0	0.3333	1.3333	0.0	0.0	2.0	0.6667	2.3333	0.6667	0.0
Clasp2	0.25	0.0	0.125	0.375	0.75	0.625	0.625	1.0	0.375	0.375	0.25
Clasrp	0.5	0.1667	1.8333	0.0	1.0	0.6667	0.3333	2.0	0.5	1.0	1.0
Clba1	38.0	28.0	114.0	46.0	51.0	30.0	17.0	45.0	52.0	45.0	29.0
Clca1	0.0	0.0	0.0	3.0	0.0	1.0	5.0	0.0	0.0	0.0	1.0
Clca2	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clca3a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	4.5	1.0	0.5
Clca3a2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Clca3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Clca4a	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Clca4b	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
